search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,activation,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
17,4,0.48401654417134293,0.04866926903321826,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.003339644078773217), 'hidden_layer_sizes': (512, 512, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0011169251535556159), 'max_iter': 751, 'solver': 'lbfgs'}",relu,0.003339644078773217,"(512, 512, 256)",constant,0.0011169251535556159,751,lbfgs
18,0,0.03627704582052407,0.01136498311841687,0.03926218738388819,0.01110812378568312,"{'activation': 'logistic', 'alpha': np.float64(0.002853901500876831), 'hidden_layer_sizes': (2048, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0022242018592856937), 'max_iter': 632, 'solver': 'sgd'}",logistic,0.002853901500876831,"(2048, 256)",constant,0.0022242018592856937,632,sgd
18,1,0.10684913040176199,0.04302182542539003,0.24310519826513968,0.0994813512177438,"{'activation': 'tanh', 'alpha': np.float64(1.0037328543185225e-05), 'hidden_layer_sizes': (1024, 192), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00035525580769962595), 'max_iter': 259, 'solver': 'sgd'}",tanh,1.0037328543185225e-05,"(1024, 192)",adaptive,0.00035525580769962595,259,sgd
18,2,0.18314230935902762,0.05529890661806957,1.0,0.0,"{'activation': 'tanh', 'alpha': np.float64(0.0001636135990525737), 'hidden_layer_sizes': (512, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.001039911991320466), 'max_iter': 615, 'solver': 'lbfgs'}",tanh,0.0001636135990525737,"(512, 256)",constant,0.001039911991320466,615,lbfgs
18,3,0.19386164453374966,0.0713885737645948,0.38181085085970246,0.11113618409776185,"{'activation': 'logistic', 'alpha': np.float64(0.013018462886582012), 'hidden_layer_sizes': (2048,), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0002021345079969679), 'max_iter': 432, 'solver': 'adam'}",logistic,0.013018462886582012,"(2048,)",constant,0.0002021345079969679,432,adam
18,4,0.036053793751468166,0.01223032248009792,0.03325023369060678,0.0026476712789574703,"{'activation': 'logistic', 'alpha': np.float64(0.0018319164583425966), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.004311751827069121), 'max_iter': 453, 'solver': 'sgd'}",logistic,0.0018319164583425966,"(1024, 512, 128)",constant,0.004311751827069121,453,sgd
19,0,0.0570540005887832,0.03028028796367682,0.11532840059878886,0.06097924424320085,"{'activation': 'tanh', 'alpha': np.float64(2.0052323140605058e-05), 'hidden_layer_sizes': (2048, 512, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.030907836523067053), 'max_iter': 418, 'solver': 'adam'}",tanh,2.0052323140605058e-05,"(2048, 512, 256)",adaptive,0.030907836523067053,418,adam
19,1,0.4333851720175249,0.07427131283075558,0.9165400906891739,0.09616286735910454,"{'activation': 'relu', 'alpha': np.float64(2.1403339831745187e-05), 'hidden_layer_sizes': (1024, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.06112721504505843), 'max_iter': 726, 'solver': 'sgd'}",relu,2.1403339831745187e-05,"(1024, 128)",constant,0.06112721504505843,726,sgd
19,2,0.34606668761235326,0.07053766118294975,0.8035894519037468,0.12005607325445493,"{'activation': 'relu', 'alpha': np.float64(0.009466239879636539), 'hidden_layer_sizes': (1024, 1024, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00754613152914292), 'max_iter': 485, 'solver': 'adam'}",relu,0.009466239879636539,"(1024, 1024, 256)",adaptive,0.00754613152914292,485,adam
19,3,0.47877986787893906,0.0825180599977027,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.0007556271990330614), 'hidden_layer_sizes': (1024, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.04532056304203873), 'max_iter': 738, 'solver': 'lbfgs'}",relu,0.0007556271990330614,"(1024, 128)",constant,0.04532056304203873,738,lbfgs
19,4,0.23761116008174832,0.056764432936199365,1.0,0.0,"{'activation': 'logistic', 'alpha': np.float64(0.0004998800251309895), 'hidden_layer_sizes': (768, 512, 256), 'learning_rate': 'invscaling', 'learning_rate_init': np.float64(0.02272596323070137), 'max_iter': 574, 'solver': 'lbfgs'}",logistic,0.0004998800251309895,"(768, 512, 256)",invscaling,0.02272596323070137,574,lbfgs
20,0,0.4020976362818468,0.09226256991776302,0.8745026256395331,0.07727156263942375,"{'activation': 'relu', 'alpha': np.float64(0.0005276185930413213), 'hidden_layer_sizes': (128,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.012602162763091328), 'max_iter': 615, 'solver': 'adam'}",relu,0.0005276185930413213,"(128,)",adaptive,0.012602162763091328,615,adam
20,1,0.1624392245181719,0.048051306972056625,0.5418353800387616,0.21510977891594768,"{'activation': 'tanh', 'alpha': np.float64(1.0865516720404488e-05), 'hidden_layer_sizes': (256,), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0060568600556795684), 'max_iter': 249, 'solver': 'sgd'}",tanh,1.0865516720404488e-05,"(256,)",adaptive,0.0060568600556795684,249,sgd
20,2,0.47398705542823194,0.07024047335582649,1.0,0.0,"{'activation': 'relu', 'alpha': np.float64(0.000312762441299537), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0006404729642030356), 'max_iter': 586, 'solver': 'lbfgs'}",relu,0.000312762441299537,"(768, 256)",adaptive,0.0006404729642030356,586,lbfgs
20,3,0.08011827061827062,0.030622125638984088,0.13173977122400948,0.07789564893021372,"{'activation': 'relu', 'alpha': np.float64(0.08895556821710766), 'hidden_layer_sizes': (512, 512, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00014070502451427034), 'max_iter': 656, 'solver': 'sgd'}",relu,0.08895556821710766,"(512, 512, 256)",adaptive,0.00014070502451427034,656,sgd
