search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
3,4,0.37649960735957766,0.022503446231563678,0.9826281868627653,0.0027247705371406645,"{'colsample_bytree': np.float64(0.648269618230265), 'gamma': np.float64(0.8354693364528121), 'learning_rate': np.float64(1.4903492806786849), 'max_depth': 30, 'min_child_weight': 8, 'n_estimators': 155, 'reg_alpha': np.float64(2.235266367634254), 'reg_lambda': np.float64(4.48678526023282), 'subsample': np.float64(0.5973428412928756)}",0.648269618230265,0.8354693364528121,1.4903492806786849,30,8,155,2.235266367634254,4.48678526023282,0.5973428412928756
4,0,0.45033039122834995,0.02555346911089521,0.9994382240067156,0.0007122788106835604,"{'colsample_bytree': np.float64(0.6056820657902788), 'gamma': np.float64(0.2200897321888805), 'learning_rate': np.float64(0.8779880827516865), 'max_depth': 28, 'min_child_weight': 9, 'n_estimators': 103, 'reg_alpha': np.float64(2.28845549413272), 'reg_lambda': np.float64(3.151214727109382), 'subsample': np.float64(0.7407818151473881)}",0.6056820657902788,0.2200897321888805,0.8779880827516865,28,9,103,2.28845549413272,3.151214727109382,0.7407818151473881
4,1,0.41305257049369526,0.04020032770914826,0.9962643422064925,0.0011008520447765423,"{'colsample_bytree': np.float64(0.5042272526236621), 'gamma': np.float64(0.6070668716767281), 'learning_rate': np.float64(1.4304426644837862), 'max_depth': 20, 'min_child_weight': 4, 'n_estimators': 239, 'reg_alpha': np.float64(1.6159186036380797), 'reg_lambda': np.float64(4.253823923167166), 'subsample': np.float64(0.6930285629383288)}",0.5042272526236621,0.6070668716767281,1.4304426644837862,20,4,239,1.6159186036380797,4.253823923167166,0.6930285629383288
4,2,0.3821026759208429,0.023049057841240065,0.9885627015648903,0.0017221346970289048,"{'colsample_bytree': np.float64(0.6092403927113337), 'gamma': np.float64(0.8734623958709408), 'learning_rate': np.float64(1.6257350657233807), 'max_depth': 30, 'min_child_weight': 11, 'n_estimators': 247, 'reg_alpha': np.float64(1.7699955255493456), 'reg_lambda': np.float64(2.2194583542816946), 'subsample': np.float64(0.8733740789665736)}",0.6092403927113337,0.8734623958709408,1.6257350657233807,30,11,247,1.7699955255493456,2.2194583542816946,0.8733740789665736
4,3,0.35020804700324504,0.02648695257568947,0.9722966212591256,0.004025083209555773,"{'colsample_bytree': np.float64(0.3698024147283756), 'gamma': np.float64(0.42006493330649486), 'learning_rate': np.float64(2.1579195790002044), 'max_depth': 36, 'min_child_weight': 9, 'n_estimators': 161, 'reg_alpha': np.float64(2.843074799580951), 'reg_lambda': np.float64(4.142716750804567), 'subsample': np.float64(0.4323097651859332)}",0.3698024147283756,0.42006493330649486,2.1579195790002044,36,9,161,2.843074799580951,4.142716750804567,0.4323097651859332
4,4,0.37022861044779054,0.0327980125575248,0.995108550604656,0.0008325542505854954,"{'colsample_bytree': np.float64(0.5346440655583793), 'gamma': np.float64(0.3195760450943493), 'learning_rate': np.float64(1.9574826809215689), 'max_depth': 14, 'min_child_weight': 10, 'n_estimators': 123, 'reg_alpha': np.float64(2.3977653135150856), 'reg_lambda': np.float64(3.7862276374583255), 'subsample': np.float64(0.7270897499269244)}",0.5346440655583793,0.3195760450943493,1.9574826809215689,14,10,123,2.3977653135150856,3.7862276374583255,0.7270897499269244
5,0,0.42039068001172203,0.026529288961639114,0.9819280422777712,0.001910589262297245,"{'colsample_bytree': np.float64(0.5845933035965584), 'gamma': np.float64(0.8989868333141691), 'learning_rate': np.float64(0.7346193037809661), 'max_depth': 39, 'min_child_weight': 15, 'n_estimators': 186, 'reg_alpha': np.float64(2.0699992332799013), 'reg_lambda': np.float64(3.7118097556041874), 'subsample': np.float64(0.536891478064655)}",0.5845933035965584,0.8989868333141691,0.7346193037809661,39,15,186,2.0699992332799013,3.7118097556041874,0.536891478064655
5,1,0.38679867258756734,0.014729680932518042,0.9921170820510572,0.0014556782673038472,"{'colsample_bytree': np.float64(0.36873942572062995), 'gamma': np.float64(0.4127791338783551), 'learning_rate': np.float64(1.7134705518868383), 'max_depth': 13, 'min_child_weight': 16, 'n_estimators': 148, 'reg_alpha': np.float64(2.510455627614678), 'reg_lambda': np.float64(2.673213314573015), 'subsample': np.float64(0.6983017426231796)}",0.36873942572062995,0.4127791338783551,1.7134705518868383,13,16,148,2.510455627614678,2.673213314573015,0.6983017426231796
5,2,0.3933247297267458,0.029989721767904903,0.9703912263590823,0.0028081863800607457,"{'colsample_bytree': np.float64(0.6742845472433909), 'gamma': np.float64(0.8118155221612572), 'learning_rate': np.float64(0.9616476666272687), 'max_depth': 27, 'min_child_weight': 19, 'n_estimators': 133, 'reg_alpha': np.float64(2.046136433446862), 'reg_lambda': np.float64(4.120778242906508), 'subsample': np.float64(0.5068847018893562)}",0.6742845472433909,0.8118155221612572,0.9616476666272687,27,19,133,2.046136433446862,4.120778242906508,0.5068847018893562
5,3,0.359662876071826,0.01630099255036913,0.9885388928463694,0.0015633923779625638,"{'colsample_bytree': np.float64(0.6850380767010711), 'gamma': np.float64(0.4953682000082966), 'learning_rate': np.float64(2.0697269967686407), 'max_depth': 14, 'min_child_weight': 9, 'n_estimators': 169, 'reg_alpha': np.float64(2.4629013276674576), 'reg_lambda': np.float64(3.5303758649718597), 'subsample': np.float64(0.8514906477809239)}",0.6850380767010711,0.4953682000082966,2.0697269967686407,14,9,169,2.4629013276674576,3.5303758649718597,0.8514906477809239
