search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,alpha,hidden_layer_sizes,learning_rate,learning_rate_init,max_iter,solver
1,7,0.10657258695590999,0.04484641835505755,0.12723226150530415,0.050131775459168804,"{'alpha': np.float64(0.0002571847714058546), 'hidden_layer_sizes': (1024, 512, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.00010341597785259744), 'max_iter': 1152, 'solver': 'sgd'}",0.0002571847714058546,"(1024, 512, 128)",adaptive,0.00010341597785259744,1152,sgd
1,8,0.49126442522195657,0.043927987704337576,1.0,0.0,"{'alpha': np.float64(0.00507295871993877), 'hidden_layer_sizes': (1024, 256, 64), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.038477907973031564), 'max_iter': 998, 'solver': 'lbfgs'}",0.00507295871993877,"(1024, 256, 64)",constant,0.038477907973031564,998,lbfgs
1,9,0.4956476799033638,0.023039885091928294,1.0,0.0,"{'alpha': np.float64(0.0025764885778811987), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.09846319754612572), 'max_iter': 672, 'solver': 'lbfgs'}",0.0025764885778811987,"(768, 256)",adaptive,0.09846319754612572,672,lbfgs
1,10,0.347881914510909,0.12317357801201313,0.8350111622458078,0.18727961412910862,"{'alpha': np.float64(1.5671154183239126e-05), 'hidden_layer_sizes': (1536, 384, 128), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.0019267725526609558), 'max_iter': 705, 'solver': 'sgd'}",1.5671154183239126e-05,"(1536, 384, 128)",constant,0.0019267725526609558,705,sgd
1,11,0.4872318457994928,0.03293026776257831,0.940368384484022,0.015126532735788227,"{'alpha': np.float64(0.0007785576142663546), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.011692104574536327), 'max_iter': 788, 'solver': 'sgd'}",0.0007785576142663546,"(1024, 256)",constant,0.011692104574536327,788,sgd
1,12,0.502571378271903,0.0171983439298597,1.0,0.0,"{'alpha': np.float64(0.0005980367213849857), 'hidden_layer_sizes': (512, 512), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0019011866050545156), 'max_iter': 791, 'solver': 'lbfgs'}",0.0005980367213849857,"(512, 512)",adaptive,0.0019011866050545156,791,lbfgs
1,13,0.10711562775115042,0.07683939562716131,0.1850675258122178,0.14198248557957346,"{'alpha': np.float64(6.522880686282526e-05), 'hidden_layer_sizes': (768, 256), 'learning_rate': 'constant', 'learning_rate_init': np.float64(0.00019390931311423604), 'max_iter': 1059, 'solver': 'sgd'}",6.522880686282526e-05,"(768, 256)",constant,0.00019390931311423604,1059,sgd
1,14,0.032745093251567325,0.008093118286145848,0.05160094287077384,0.01694982572623207,"{'alpha': np.float64(0.0045068267403266665), 'hidden_layer_sizes': (256, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.06243865430883659), 'max_iter': 1155, 'solver': 'adam'}",0.0045068267403266665,"(256, 256)",adaptive,0.06243865430883659,1155,adam
1,15,0.41383357367010215,0.01836783544890477,0.9267948871341749,0.03207090774343474,"{'alpha': np.float64(0.008287607704966669), 'hidden_layer_sizes': (1024, 256, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.000909920347097625), 'max_iter': 971, 'solver': 'adam'}",0.008287607704966669,"(1024, 256, 128)",adaptive,0.000909920347097625,971,adam
1,16,0.4674156437701029,0.05663113630611271,1.0,0.0,"{'alpha': np.float64(0.00012006367227771428), 'hidden_layer_sizes': (1536, 384, 128), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0001954098359497271), 'max_iter': 915, 'solver': 'lbfgs'}",0.00012006367227771428,"(1536, 384, 128)",adaptive,0.0001954098359497271,915,lbfgs
1,17,0.4719937721367254,0.04166117246307616,0.9451923691459984,0.009216082295307581,"{'alpha': np.float64(0.00037461445617400856), 'hidden_layer_sizes': (1024, 256), 'learning_rate': 'adaptive', 'learning_rate_init': np.float64(0.0006181765285520787), 'max_iter': 503, 'solver': 'adam'}",0.00037461445617400856,"(1024, 256)",adaptive,0.0006181765285520787,503,adam
