search_idx,iteration,mean_test_score,std_test_score,mean_train_score,std_train_score,params,learning_rate,n_epochs,prototypes_per_class
6,0,0.3637689075630252,0.08103847899299735,0.9949119434253,0.00484721771911467,"{'learning_rate': np.float64(0.003059800358769617), 'n_epochs': 6, 'prototypes_per_class': 84}",0.003059800358769617,6,84
6,1,0.36375108225108227,0.08105703066472157,0.9957103220191706,0.00457490648069625,"{'learning_rate': np.float64(0.010772838231769295), 'n_epochs': 19, 'prototypes_per_class': 87}",0.010772838231769295,19,87
6,2,0.3644972435545191,0.08005487393673927,0.983222045132359,0.006550839095486209,"{'learning_rate': np.float64(0.007633107095040019), 'n_epochs': 6, 'prototypes_per_class': 94}",0.007633107095040019,6,94
6,3,0.3637689075630252,0.08103847899299735,0.9895434682492021,0.004336027375472885,"{'learning_rate': np.float64(0.009569644147762391), 'n_epochs': 7, 'prototypes_per_class': 97}",0.009569644147762391,7,97
6,4,0.3637689075630252,0.08103847899299735,0.9916410729753957,0.005852606326142212,"{'learning_rate': np.float64(0.008312505893473751), 'n_epochs': 6, 'prototypes_per_class': 78}",0.008312505893473751,6,78
7,0,0.3637689075630252,0.08103847899299735,0.9942431010462289,0.00639505132281987,"{'learning_rate': np.float64(0.010013756495884443), 'n_epochs': 17, 'prototypes_per_class': 83}",0.010013756495884443,17,83
7,1,0.36508441558441557,0.07970146793041759,0.9884007757989588,0.004464987882421661,"{'learning_rate': np.float64(0.004171957167653987), 'n_epochs': 15, 'prototypes_per_class': 75}",0.004171957167653987,15,75
7,2,0.3637689075630252,0.08103847899299735,0.9886128747732157,0.005215028107829405,"{'learning_rate': np.float64(0.0022020905537060848), 'n_epochs': 11, 'prototypes_per_class': 99}",0.0022020905537060848,11,99
7,3,0.3637689075630252,0.08103847899299735,0.995938893447742,0.00417004840790284,"{'learning_rate': np.float64(0.00428381227885081), 'n_epochs': 5, 'prototypes_per_class': 86}",0.00428381227885081,5,86
7,4,0.3674629912571089,0.07620627366500098,0.9881321297725785,0.007849446859164529,"{'learning_rate': np.float64(0.007098318054986946), 'n_epochs': 19, 'prototypes_per_class': 95}",0.007098318054986946,19,95
8,0,0.36375108225108227,0.08105703066472157,0.9911103337274151,0.011898145395083354,"{'learning_rate': np.float64(0.006533711897497719), 'n_epochs': 39, 'prototypes_per_class': 81}",0.006533711897497719,39,81
8,1,0.3637689075630252,0.08103847899299735,0.9949119434253,0.00484721771911467,"{'learning_rate': np.float64(0.002938630679368927), 'n_epochs': 9, 'prototypes_per_class': 84}",0.002938630679368927,9,84
8,2,0.36333940242763774,0.08162514766441509,0.9892506672812651,0.0043277261478954525,"{'learning_rate': np.float64(0.009843765470229714), 'n_epochs': 16, 'prototypes_per_class': 97}",0.009843765470229714,16,97
8,3,0.36333940242763774,0.08162514766441509,0.9901887718600232,0.0031122422747449103,"{'learning_rate': np.float64(0.005618434812751104), 'n_epochs': 34, 'prototypes_per_class': 99}",0.005618434812751104,34,99
8,4,0.3637689075630252,0.08103847899299735,0.9935362531077363,0.004014989104024458,"{'learning_rate': np.float64(0.0011325103350391056), 'n_epochs': 13, 'prototypes_per_class': 89}",0.0011325103350391056,13,89
9,0,0.3644972435545191,0.08005487393673927,0.983222045132359,0.006550839095486209,"{'learning_rate': np.float64(0.003965355812876553), 'n_epochs': 15, 'prototypes_per_class': 94}",0.003965355812876553,15,94
9,1,0.35940200545928097,0.07691746190424287,0.9815547591172468,0.009153170515736121,"{'learning_rate': np.float64(0.00874653531181182), 'n_epochs': 11, 'prototypes_per_class': 93}",0.00874653531181182,11,93
9,2,0.3637689075630252,0.08103847899299735,0.9903115876459104,0.008996518489755525,"{'learning_rate': np.float64(0.0028519556786746796), 'n_epochs': 9, 'prototypes_per_class': 79}",0.0028519556786746796,9,79
9,3,0.36375108225108227,0.08105703066472157,0.9910238372930925,0.008382572987762335,"{'learning_rate': np.float64(0.007603027197013381), 'n_epochs': 36, 'prototypes_per_class': 82}",0.007603027197013381,36,82
9,4,0.36333940242763774,0.08162514766441509,0.993268970481107,0.004214440713881751,"{'learning_rate': np.float64(0.00365046428325004), 'n_epochs': 36, 'prototypes_per_class': 90}",0.00365046428325004,36,90
10,0,0.3625270774976658,0.08299665165665561,0.9882588726539996,0.005655737128926647,"{'learning_rate': np.float64(0.008304963609587903), 'n_epochs': 26, 'prototypes_per_class': 75}",0.008304963609587903,26,75
10,1,0.36375108225108227,0.08105703066472157,0.9957103220191706,0.00457490648069625,"{'learning_rate': np.float64(0.008962405955628545), 'n_epochs': 27, 'prototypes_per_class': 87}",0.008962405955628545,27,87
10,2,0.3637689075630252,0.08103847899299735,0.9914055859380199,0.0033154257280625316,"{'learning_rate': np.float64(0.0013593867492155333), 'n_epochs': 13, 'prototypes_per_class': 98}",0.0013593867492155333,13,98
10,3,0.36375108225108227,0.08105703066472157,0.9882314884079163,0.004272106011743758,"{'learning_rate': np.float64(0.010308072973164897), 'n_epochs': 22, 'prototypes_per_class': 77}",0.010308072973164897,22,77
10,4,0.3637689075630252,0.08103847899299735,0.9901607907879406,0.0071178476024609015,"{'learning_rate': np.float64(0.0041562734376335), 'n_epochs': 25, 'prototypes_per_class': 82}",0.0041562734376335,25,82
11,0,0.3637689075630252,0.08103847899299735,0.9886128747732157,0.005215028107829405,"{'learning_rate': np.float64(0.004004893856004324), 'n_epochs': 26, 'prototypes_per_class': 99}",0.004004893856004324,26,99
11,1,0.3637689075630252,0.08103847899299735,0.9918263141536243,0.008857918147878245,"{'learning_rate': np.float64(0.00892521391962919), 'n_epochs': 23, 'prototypes_per_class': 79}",0.00892521391962919,23,79
11,2,0.3637689075630252,0.08103847899299735,0.9902160081954922,0.009141400222610707,"{'learning_rate': np.float64(0.008308180287118088), 'n_epochs': 12, 'prototypes_per_class': 79}",0.008308180287118088,12,79
11,3,0.3674629912571089,0.07620627366500098,0.9882503563735636,0.007944222743048983,"{'learning_rate': np.float64(0.005755460374868267), 'n_epochs': 23, 'prototypes_per_class': 95}",0.005755460374868267,23,95
11,4,0.36333940242763774,0.08162514766441509,0.9895434682492021,0.004336027375472885,"{'learning_rate': np.float64(0.006991205850403252), 'n_epochs': 16, 'prototypes_per_class': 96}",0.006991205850403252,16,96
12,0,0.3637689075630252,0.08103847899299735,0.9895434682492021,0.004336027375472885,"{'learning_rate': np.float64(0.004138780765150273), 'n_epochs': 5, 'prototypes_per_class': 96}",0.004138780765150273,5,96
12,1,0.36375108225108227,0.08105703066472157,0.9891402118293733,0.004659025676853056,"{'learning_rate': np.float64(0.002906098330744498), 'n_epochs': 34, 'prototypes_per_class': 77}",0.002906098330744498,34,77
12,2,0.3674629912571089,0.07620627366500098,0.9829547625057294,0.006248299663254047,"{'learning_rate': np.float64(0.0044210762086359405), 'n_epochs': 29, 'prototypes_per_class': 94}",0.0044210762086359405,29,94
12,3,0.36744516594516596,0.07622686524432541,0.9870226727444281,0.008448818949609502,"{'learning_rate': np.float64(0.009309491710550684), 'n_epochs': 26, 'prototypes_per_class': 95}",0.009309491710550684,26,95
12,4,0.3661118326118326,0.07792400879441909,0.9842739921543238,0.005445936651264573,"{'learning_rate': np.float64(0.008349258473948941), 'n_epochs': 37, 'prototypes_per_class': 94}",0.008349258473948941,37,94
13,0,0.3637689075630252,0.08103847899299735,0.995938893447742,0.00417004840790284,"{'learning_rate': np.float64(0.009591117576469164), 'n_epochs': 17, 'prototypes_per_class': 86}",0.009591117576469164,17,86
13,1,0.3644972435545191,0.08005487393673927,0.983222045132359,0.006550839095486209,"{'learning_rate': np.float64(0.004565713259508191), 'n_epochs': 13, 'prototypes_per_class': 94}",0.004565713259508191,13,94
13,2,0.3637689075630252,0.08103847899299735,0.99177381674178,0.011932342298282453,"{'learning_rate': np.float64(0.006122147076770516), 'n_epochs': 27, 'prototypes_per_class': 81}",0.006122147076770516,27,81
13,3,0.3633215771156948,0.08164347225464305,0.9897622672616704,0.0027712783633699204,"{'learning_rate': np.float64(0.010765610233229042), 'n_epochs': 25, 'prototypes_per_class': 97}",0.010765610233229042,25,97
13,4,0.3623677531618708,0.0731104071389201,0.9814038786070196,0.00895606390944436,"{'learning_rate': np.float64(0.004859395109369273), 'n_epochs': 30, 'prototypes_per_class': 93}",0.004859395109369273,30,93
14,0,0.3637689075630252,0.08103847899299735,0.9906202195530902,0.007470680010155261,"{'learning_rate': np.float64(0.0020125991461515894), 'n_epochs': 9, 'prototypes_per_class': 82}",0.0020125991461515894,9,82
14,1,0.3637689075630252,0.08103847899299735,0.9875295680147728,0.010868327697658697,"{'learning_rate': np.float64(0.0046459372819754), 'n_epochs': 16, 'prototypes_per_class': 80}",0.0046459372819754,16,80
14,2,0.3637689075630252,0.08103847899299735,0.9935362531077363,0.004014989104024458,"{'learning_rate': np.float64(0.005540016211961149), 'n_epochs': 8, 'prototypes_per_class': 91}",0.005540016211961149,8,91
14,3,0.3637689075630252,0.08103847899299735,0.9914055859380199,0.0033154257280625316,"{'learning_rate': np.float64(0.002405529675783608), 'n_epochs': 9, 'prototypes_per_class': 98}",0.002405529675783608,9,98
14,4,0.3637689075630252,0.08103847899299735,0.9943811561873399,0.005473469996865622,"{'learning_rate': np.float64(0.010774521179903681), 'n_epochs': 7, 'prototypes_per_class': 85}",0.010774521179903681,7,85
15,0,0.3637689075630252,0.08103847899299735,0.9905668853884745,0.009169669186506843,"{'learning_rate': np.float64(0.005506196567297579), 'n_epochs': 23, 'prototypes_per_class': 79}",0.005506196567297579,23,79
15,1,0.3637689075630252,0.08103847899299735,0.9895434682492021,0.004336027375472885,"{'learning_rate': np.float64(0.008374337687214857), 'n_epochs': 5, 'prototypes_per_class': 97}",0.008374337687214857,5,97
15,2,0.3637689075630252,0.08103847899299735,0.9901607907879406,0.0071178476024609015,"{'learning_rate': np.float64(0.007802277792083533), 'n_epochs': 17, 'prototypes_per_class': 82}",0.007802277792083533,17,82
15,3,0.3637689075630252,0.08103847899299735,0.995938893447742,0.00417004840790284,"{'learning_rate': np.float64(0.0018479201604580321), 'n_epochs': 5, 'prototypes_per_class': 87}",0.0018479201604580321,5,87
15,4,0.36333940242763774,0.08162514766441509,0.9924097789231355,0.002896605475017896,"{'learning_rate': np.float64(0.009021305581275875), 'n_epochs': 39, 'prototypes_per_class': 98}",0.009021305581275875,39,98
16,0,0.3643571428571429,0.08043273832159542,0.9887079954610172,0.0048371074001577795,"{'learning_rate': np.float64(0.002520485674244918), 'n_epochs': 37, 'prototypes_per_class': 75}",0.002520485674244918,37,75
16,1,0.36333940242763774,0.08162514766441509,0.9914055859380199,0.0033154257280625316,"{'learning_rate': np.float64(0.004512193873487809), 'n_epochs': 21, 'prototypes_per_class': 98}",0.004512193873487809,21,98
16,2,0.3637689075630252,0.08103847899299735,0.9958560777127525,0.0043155298226031005,"{'learning_rate': np.float64(0.005861304852149241), 'n_epochs': 31, 'prototypes_per_class': 87}",0.005861304852149241,31,87
